Position,StateName,Name_x,Name_y,Handle,Affiliation,Body,Score,RankY,RankX,ndups
VA09,Virginia,Morgan Griffith,Morgan Griffith,@RepMGriffith,R,House of Representatives,100,0,0,0
NJ07,New Jersey,Tom Malinowski,Tom Malinowski,@RepMalinowski,D,House of Representatives,100,0,0,0
NY12,New York,Carolyn Maloney,Carolyn Maloney,@RepMaloney,D,House of Representatives,100,0,0,0
OH11,Ohio,Marcia Fudge,Marcia Fudge,@RepMarciaFudge,D,House of Representatives,100,0,0,0
OH09,Ohio,Marcy Kaptur,Marcy Kaptur,@RepMarcyKaptur,D,House of Representatives,100,0,0,0
TN07,Tennessee,Mark Green,Mark E. Green,@RepMarkGreen,R,House of Representatives,87,0,0,0
NC11,Texas,Mark Meadows,Marc Veasey,@RepMarkMeadows,D,House of Representatives,61,1,1,0
CA41,California,Mark Takano,Mark Takano,@RepMarkTakano,D,House of Representatives,100,0,0,0
NC06,Virginia,Mark Walker,Mark Warner,@RepMarkWalker,D,Senate,82,0,0,0
FL01,Florida,Matt Gaetz,Matt Gaetz,@RepMattGaetz,R,House of Representatives,100,0,0,0
NY11,New York,Max Rose,Max Rose,@RepMaxRose,D,House of Representatives,100,0,0,0
CA43,California,Maxine Waters,Maxine Waters,@RepMaxineWaters,D,House of Representatives,100,0,0,0
TX10,Texas,Michael McCaul,Michael McCaul,@RepMcCaul,R,House of Representatives,100,0,0,0
VA04,Virginia,Donald McEachin,Donald McEachin,@RepMcEachin,D,House of Representatives,100,0,0,0
MA02,Maine,James McGovern,Jared Golden,@RepMcGovern,D,House of Representatives,62,2,0,0
WV01,West Virginia,David McKinley,David McKinley,@RepMcKinley,R,House of Representatives,100,0,0,0
PA09,Pennsylvania,Daniel Meuser,Dan Meuser,@RepMeuser,R,House of Representatives,87,0,0,0
MS03,Colorado,Michael Guest,Michael Bennet,@RepMichaelGuest,D,Senate,74,0,0,0
FL06,Florida,Michael Waltz,Michael Waltz,@RepMichaelWaltz,R,House of Representatives,100,0,0,0
LA04,Georgia,Mike Johnson,Hank Johnson,@RepMikeJohnson,D,House of Representatives,75,0,0,0
CA49,California,Mike Levin,Mike Levin,@RepMikeLevin,D,House of Representatives,100,0,0,0
IL05,Ohio,Mike Quigley,Mike Turner,@RepMikeQuigley,R,House of Representatives,61,1,0,0
OH10,Ohio,Michael Turner,Mike Turner,@RepMikeTurner,R,House of Representatives,80,0,0,0
MI04,Michigan,John Moolenaar,John Moolenaar,@RepMoolenaar,R,House of Representatives,100,0,0,0
OK02,Oklahoma,Markwayne Mullin,Markwayne Mullin,@RepMullin,R,House of Representatives,100,0,0,0
WA04,Washington,Dan Newhouse,Dan Newhouse,@RepNewhouse,R,House of Representatives,100,0,0,0
MI10,Kentucky,Paul Mitchell,Mitch McConnell,@RepPaulMitchell,R,Senate,57,1,0,0
NY20,New York,Paul Tonko,Paul Tonko,@RepPaulTonko,D,House of Representatives,100,0,0,0
CO07,Colorado,Perlmutter Perlmutter,Ed Perlmutter,@RepPerlmutter,D,House of Representatives,65,0,0,0
CA31,California,Pete Aguilar,Pete Aguilar,@RepPeteAguilar,D,House of Representatives,100,0,0,0
NY02,New York,Peter King,Peter T. King,@RepPeteKing,R,House of Representatives,87,0,0,0
TX22,Texas,Pete Olson,Pete Olson,@RepPeteOlson,R,House of Representatives,100,0,0,0
MN8,Minnesota,Pete Stauber,Pete Stauber,@RepPeteStauber,R,House of Representatives,100,0,0,0
OR04,Oregon,Peter DeFazio,Peter DeFazio,@RepPeterDeFazio,D,House of Representatives,100,0,0,0
MA07,Massachusetts,Ayanna Pressley,Ayanna Pressley,@RepPressley,D,House of Representatives,100,0,0,0
TX25,Mississippi,Roger Williams,Roger Wicker,@RepRWilliams,R,Senate,62,1,0,0
SC05,South Carolina,Ralph Norman,Ralph Norman,@RepRalphNorman,R,House of Representatives,100,0,0,0
MI13,Michigan,Rashida Tlaib,Rashida Tlaib,@RepRashida,D,House of Representatives,100,0,0,0
MD08,Maryland,Jamie Raskin,Jamie Raskin,@RepRaskin,D,House of Representatives,100,0,0,0
TX04,Missouri,John Ratcliffe,Josh Hawley,@RepRatcliffe,R,Senate,56,2,1,0
